V3	V4	V6	name	time
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259031/MQ220906-63_S63_L001_R1_001.fastq.gz	MQ220906-63_S63_L001_R1_001.fastq.gz	MQ22090663	MQ22090663	T2
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259031/MQ220906-63_S63_L001_R2_001.fastq.gz	MQ220906-63_S63_L001_R2_001.fastq.gz	MQ22090663	MQ22090663	T2
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259033/MQ220906-65_S65_L001_R1_001.fastq.gz	MQ220906-65_S65_L001_R1_001.fastq.gz	MQ22090665	MQ22090665	T2
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259033/MQ220906-65_S65_L001_R2_001.fastq.gz	MQ220906-65_S65_L001_R2_001.fastq.gz	MQ22090665	MQ22090665	T2
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259037/MQ220906-69_S69_L001_R1_001.fastq.gz	MQ220906-69_S69_L001_R1_001.fastq.gz	MQ22090669	MQ22090669	T2
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259037/MQ220906-69_S69_L001_R2_001.fastq.gz	MQ220906-69_S69_L001_R2_001.fastq.gz	MQ22090669	MQ22090669	T2
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259040/MQ220906-72_S72_L001_R1_001.fastq.gz	MQ220906-72_S72_L001_R1_001.fastq.gz	MQ22090672	MQ22090672	T2
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259040/MQ220906-72_S72_L001_R2_001.fastq.gz	MQ220906-72_S72_L001_R2_001.fastq.gz	MQ22090672	MQ22090672	T2
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259042/MQ220906-74_S74_L001_R1_001.fastq.gz	MQ220906-74_S74_L001_R1_001.fastq.gz	MQ22090674	MQ22090674	T2
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259042/MQ220906-74_S74_L001_R2_001.fastq.gz	MQ220906-74_S74_L001_R2_001.fastq.gz	MQ22090674	MQ22090674	T2
